Breed,Weight_kg,Age_years,Purpose,Weather,Dry_Fodder_kg,Concentrate_kg,Green_Fodder_kg
Holstein,526,6,Milk,Hot,4.83,1.8,11.36
Jersey,422,4,Meat,Hot,4.67,1.82,8.81
Holstein,636,4,Meat,Hot,7.02,3.7,13.0
Jersey,423,6,Meat,Cold,5.48,2.22,8.78
Gir,561,6,Meat,Hot,7.22,2.44,11.81
Holstein,391,6,Meat,Cold,4.31,2.05,7.31
Jersey,312,7,Meat,Cold,3.81,1.8,6.03
Holstein,430,4,Meat,Moderate,4.82,2.2,8.51
Sahiwal,337,8,Meat,Hot,4.33,1.43,6.35
Holstein,325,3,Milk,Moderate,3.46,1.24,7.17
Sahiwal,342,10,Milk,Hot,3.52,1.44,7.05
Holstein,340,6,Milk,Cold,3.17,1.38,8.11
Sahiwal,506,3,Meat,Cold,5.6,2.31,9.41
Holstein,639,10,Milk,Moderate,6.35,3.08,14.89
Gir,328,9,Milk,Moderate,3.31,1.25,7.08
Gir,348,9,Meat,Cold,4.24,1.55,6.44
Jersey,530,5,Milk,Hot,5.74,1.84,12.78
Holstein,273,4,Milk,Moderate,2.57,1.15,5.86
Sahiwal,403,3,Milk,Moderate,4.31,1.39,8.61
Gir,294,5,Meat,Cold,3.49,1.32,5.52
Jersey,447,2,Milk,Moderate,4.8,1.61,10.46
Sahiwal,509,7,Milk,Moderate,4.99,2.14,10.56
Holstein,398,9,Milk,Moderate,3.69,1.44,8.78
Jersey,333,9,Milk,Cold,3.29,1.9,7.35
Red Sindhi,629,2,Meat,Hot,7.85,3.33,13.55
Gir,411,8,Milk,Hot,4.31,1.8,9.3
Holstein,545,10,Meat,Cold,6.19,2.68,11.15
Jersey,561,8,Meat,Cold,7.24,3.36,11.96
Holstein,417,3,Meat,Moderate,4.98,1.84,8.64
Holstein,383,2,Meat,Moderate,4.87,2.13,6.92
Sahiwal,633,4,Meat,Cold,7.46,3.56,13.56
Red Sindhi,428,7,Milk,Moderate,4.09,1.6,10.4
Gir,448,2,Meat,Hot,4.95,2.29,8.55
Red Sindhi,455,9,Milk,Moderate,4.89,1.77,10.65
Sahiwal,294,9,Milk,Moderate,3.07,1.38,6.22
Red Sindhi,455,6,Milk,Moderate,4.94,1.91,10.66
Holstein,364,6,Meat,Hot,4.64,2.18,6.68
Gir,443,7,Milk,Hot,4.72,2.03,10.07
Red Sindhi,526,5,Meat,Moderate,6.31,2.23,10.29
Holstein,259,3,Meat,Hot,2.94,1.21,5.5
Gir,580,7,Meat,Hot,7.21,3.16,12.39
Holstein,609,3,Meat,Cold,7.35,2.59,11.68
Holstein,277,10,Meat,Cold,3.21,1.11,5.23
Jersey,626,4,Meat,Cold,7.29,2.92,11.95
Gir,459,4,Milk,Hot,4.46,1.95,10.13
Jersey,443,8,Meat,Cold,5.25,1.8,8.07
Gir,551,5,Meat,Hot,6.66,3.21,10.89
Jersey,334,9,Milk,Hot,3.32,1.44,6.81
Red Sindhi,355,9,Meat,Cold,4.41,1.98,6.72
Gir,521,3,Meat,Hot,6.67,2.39,10.05
Gir,618,6,Milk,Moderate,5.85,2.73,13.87
Holstein,393,2,Meat,Hot,4.94,2.01,7.34
Holstein,561,10,Milk,Hot,5.32,1.84,13.99
Gir,421,6,Milk,Moderate,4.58,1.49,8.74
Gir,322,3,Milk,Hot,3.46,1.2,7.66
Red Sindhi,568,10,Milk,Hot,5.92,2.22,14.06
Sahiwal,472,3,Milk,Cold,5.01,2.05,10.96
Gir,633,8,Meat,Hot,7.84,3.7,12.74
Holstein,556,7,Meat,Moderate,6.37,2.69,11.06
Sahiwal,424,7,Meat,Cold,5.49,1.84,8.8
Sahiwal,649,5,Milk,Hot,6.39,2.62,13.29
Holstein,515,2,Meat,Cold,6.13,2.96,10.92
Sahiwal,419,8,Meat,Cold,4.78,2.16,8.09
Holstein,572,6,Meat,Cold,7.27,2.82,11.32
Sahiwal,378,6,Meat,Hot,4.52,2.01,8.12
Gir,288,7,Meat,Hot,3.3,1.34,5.49
Red Sindhi,536,10,Milk,Hot,4.89,2.08,12.09
Jersey,386,6,Meat,Moderate,4.5,1.8,7.1
Gir,346,2,Meat,Moderate,4.49,1.98,7.34
Gir,427,6,Milk,Hot,4.24,2.07,9.2
Holstein,484,8,Milk,Moderate,5.24,2.25,11.7
Gir,611,4,Meat,Moderate,7.41,2.56,11.74
Sahiwal,541,8,Meat,Hot,6.08,2.79,11.76
Holstein,622,3,Meat,Hot,7.3,2.71,12.23
Jersey,274,5,Meat,Cold,3.3,1.39,5.66
Gir,298,6,Milk,Moderate,2.94,1.46,6.4
